,Companies,Environmental Vs History,Environmental Vs Peers,Social Vs History,Social Vs Peers,Governance Vs History,Governance Vs Peers
0,A UN,Better,Worse,Neutral,Neutral,Better,Worse
1,AAL UW,Better,Worse,Better,Neutral,Worse,Worse
2,AAP UN,Neutral,Neutral,Neutral,Better,Better,Neutral
3,AAPL UW,Worse,Better,Neutral,Neutral,Worse,Worse
4,ABBV UN,Better,Better,Neutral,Better,Worse,Worse
5,ABC UN,Worse,Better,Worse,Worse,Worse,Worse
6,ABMD UW,Neutral,Neutral,Neutral,Neutral,Worse,Worse
7,ABT UN,Better,Worse,Worse,Better,Worse,Worse
8,ACN UN,Better,Worse,Better,Neutral,Worse,Worse
9,ADBE UW,Better,Better,Better,Neutral,Neutral,Worse
10,ADI UW,Neutral,Neutral,Neutral,Neutral,Worse,Worse
11,ADM UN,Worse,Worse,Neutral,Worse,Better,Worse
12,ADP UW,Neutral,Neutral,Neutral,Neutral,Worse,Better
13,ADS UN,Better,Neutral,Neutral,Neutral,Worse,Better
14,ADSK UW,Neutral,Neutral,Better,Better,Neutral,Better
15,AEE UN,Worse,Worse,Worse,Better,Better,Better
16,AEP UN,Better,Worse,Better,Neutral,Worse,Worse
17,AES UN,Better,Worse,Better,Better,Worse,Worse
18,AFL UN,Neutral,Neutral,Worse,Neutral,Worse,Worse
19,AGN UN,Better,Better,Neutral,Better,Better,Worse
20,AIG UN,Neutral,Neutral,Neutral,Neutral,Worse,Worse
21,AIV UN,Neutral,Neutral,Worse,Neutral,Neutral,Better
22,AIZ UN,Neutral,Worse,Neutral,Neutral,Worse,Worse
23,AJG UN,Neutral,Neutral,Neutral,Neutral,Worse,Worse
24,AKAM UW,Worse,Neutral,Neutral,Neutral,Neutral,Neutral
25,ALB UN,Better,Worse,Neutral,Worse,Worse,Worse
26,ALGN UW,Neutral,Neutral,Neutral,Neutral,Worse,Worse
27,ALK UN,Neutral,Better,Better,Better,Worse,Better
28,ALL UN,Better,Worse,Worse,Neutral,Worse,Worse
29,ALLE UN,Neutral,Neutral,Neutral,Worse,Neutral,Worse
30,ALXN UW,Neutral,Neutral,Neutral,Neutral,Better,Neutral
31,AMAT UW,Better,Worse,Neutral,Better,Better,Worse
32,AMCR UN,Worse,Better,Worse,Neutral,Worse,Neutral
33,AMD UW,Better,Better,Better,Worse,Neutral,Worse
34,AME UN,Neutral,Neutral,Worse,Better,Neutral,Better
35,AMGN UW,Better,Neutral,Neutral,Better,Better,Better
36,AMP UN,Neutral,Neutral,Neutral,Worse,Worse,Worse
37,AMT UN,Better,Worse,Worse,Better,Worse,Worse
38,AMZN UW,Neutral,Worse,Better,Better,Neutral,Neutral
39,ANET UN,Neutral,Neutral,Neutral,Neutral,Worse,Worse
40,ANSS UW,Neutral,Neutral,Neutral,Neutral,Better,Better
41,ANTM UN,Better,Worse,Worse,Neutral,Better,Better
42,AON UN,Neutral,Neutral,Neutral,Neutral,Worse,Worse
43,AOS UN,Neutral,Neutral,Worse,Better,Neutral,Worse
44,APA UN,Neutral,Worse,Better,Worse,Worse,Neutral
45,APD UN,Better,Worse,Better,Better,Worse,Worse
46,APH UN,Better,Neutral,Better,Neutral,Worse,Worse
47,APTV UN,Better,Better,Better,Neutral,Better,Worse
