Name,Industry,Ticker,Total,Governance,Social,Environment,Date
ABB,Capital Goods,ABLZF US Equity,76.5,67.6,81.4,82.5,Sep-19
AbbVie,Pharmaceuticals & Biotechnology,ABBV US Equity,60.2,52.6,61.5,85.0,Sep-19
Accenture,Software & IT Services,ACN US Equity,74.3,68.1,82.3,70.0,Sep-19
Accor,Hotels Restaurants & Leisure,ACRFF US Equity,69.5,61.6,77.2,75.0,Sep-19
Ackermans & van Haaren,Holding & Investment companies,AVHNF US Equity,50.8,46.3,52.9,62.0,Sep-19
ACS,Construction & Building Materials,ACSAF US Equity,66.5,51.6,96.2,48.1,Sep-19
Adidas,Luxury and Sporting Goods,ADDDF US Equity,64.6,56.2,72.5,64.3,Sep-19
Aegon,Insurance,AEGOF US Equity,74.5,78.4,64.3,75.6,Sep-19
Aena,Transportation,ANNSF US Equity,70.4,59.1,71.0,81.0,Sep-19
Aéroports de Paris,Transportation,AEOPF US Equity,75.4,63.1,75.9,87.0,Sep-19
Ageas,Insurance,AGESF US Equity,50.8,47.5,45.7,62.0,Sep-19
Ahold Delhaize,Food Retailing,AHODF US Equity,68.4,68.4,64.1,76.1,Sep-19
Air France-KLM,Transportation,AFRAF US Equity,66.1,56.6,71.3,72.2,Sep-19
Air Liquide,Chemicals,AIQUF US Equity,71.2,61.5,70.8,85.7,Sep-19
Air Products,Chemicals,APD US Equity,81.1,68.0,91.0,85.7,Sep-19
Airbus Group,Aerospace & Defence,EADSF US Equity,62.9,57.0,68.7,65.6,Sep-19
Akbank,Banks,AKBNF US Equity,55.2,40.7,60.8,83.0,Sep-19
Aker BP,Oil & Gas,DETNF US Equity,59.6,53.7,50.7,72.1,Sep-19
AkzoNobel,Chemicals,AKZOF US Equity,73.8,67.9,84.0,67.5,Sep-19
Alior Bank,Banks,ALR PW Equity,45.3,35.7,60.2,46.7,Sep-19
Allianz SE,Insurance,ALIZF US Equity,74.7,66.2,72.9,93.4,Sep-19
Allied Irish Banks,Banks,AIBRF US Equity,56.1,54.1,54.4,63.3,Sep-19
Alphabet,Internet,GOOGL US Equity,50.3,33.9,49.3,80.0,Sep-19
Alrosa,Metals & Mining,ARRLF US Equity,47.7,46.8,61.4,37.0,Sep-19
Alstom,Capital Goods,AOMFF US Equity,72.5,61.5,70.8,90.0,Sep-19
Altarea Cogedim,Real Estate,ATRRF US Equity,69.0,67.1,78.1,64.5,Sep-19
Alten,Software & IT Services,ABLGF US Equity,58.7,46.1,70.8,60.0,Sep-19
Altice Europe NV,Telecom Services,ALLVF US Equity,52.7,51.9,40.9,81.7,Sep-19
Altice USA,Telecom Services,ATUS US Equity,46.1,51.7,33.2,66.7,Sep-19
Altran Technologies,Software & IT Services,ALTKF US Equity,52.0,49.3,61.8,35.0,Sep-19
Amazon,Internet,AMZN US Equity,46.2,50.4,38.0,50.8,Sep-19
Andritz AG,Capital Goods,ADRZF US Equity,49.1,60.3,62.2,16.5,Sep-19
Anglo American,Metals & Mining,AAUKF US Equity,75.9,70.1,71.8,84.6,Sep-19
Aperam,Metals & Mining,APMSF US Equity,65.6,67.2,75.0,56.9,Sep-19
ArcelorMittal,Metals & Mining,AMSYF US Equity,70.3,68.1,85.0,60.9,Sep-19
Arkema,Chemicals,ARKAF US Equity,68.9,58.0,79.7,67.0,Sep-19
ASML,Technology Hardware,ASMLF US Equity,83.2,64.7,100.0,90.3,Sep-19
Assa Abloy,Capital Goods,ASAZF US Equity,74.9,61.9,86.4,78.0,Sep-19
Assic Generali spa,Insurance,ARZGF US Equity,62.6,49.1,65.7,86.9,Sep-19
