,Ticker,CIK
0,a,1090872
1,aa,1675149
2,aaap,1611787
3,aaba,1011006
4,aacg,1420529
5,aach,1606180
6,aagh,1098009
7,aal,6201
8,aamc,1555074
9,aame,8177
10,aan,706688
11,aanc,1712543
12,aaoi,1158114
13,aaon,824142
14,aap,1158449
15,aapl,320193
16,aasp,930245
17,aat,1500217
18,aau,1015647
19,aaww,1135185
20,aaxn,1069183
21,ab,825313
22,abax,881890
23,abb,1091587
24,abbv,1551152
25,abc,1140859
26,abcb,351569
27,abcd,1466815
28,abce,1300938
29,abco,1157377
30,abcp,20639
31,abdc,1578620
32,abeo,318306
33,abev,1565025
34,abg,1144980
35,abilf,1652866
36,abio,907654
37,abm,771497
38,abmc,896747
39,abmd,815094
40,abml,1576873
41,abmt,1385799
42,abqq,1605331
43,abr,1253986
44,abr-pa,1253986
45,abr-pb,1253986
46,abr-pc,1253986
47,abt,1800
48,abti,1442999
49,abtx,1642081
50,abus,1447028
51,abvc,1173313
52,abvn,1607450
53,abwn,1537258
54,ac,1642122
55,aca,1739445
56,acad,1070494
57,acam,1759008
58,acamu,1759008
59,acamw,1759008
60,acan,1508348
61,acb,1683541
62,acbi,1461755
63,acbm,1622996
64,acc,1283630
65,acca,1001463
66,acco,712034
67,accr,1041588
68,acel,1698991
69,acel-wt,1698991
70,acer,1069308
71,acet,2034
72,acez,1499684
73,acfc,1404296
74,acfn,880984
75,acgl,947484
76,acglo,947484
77,acglp,947484
78,ach,1161611
79,achc,1520697
80,achv,949858
81,aci,1646972
82,acia,1651235
83,aciu,1651625
84,aciw,935036
85,acls,1113232
86,acm,868857
87,acmb,1598323
88,acmc,934543
89,acmr,1680062
90,acn,1467373
91,acnb,715579
92,acnv,1444144
93,acor,1008848
94,acre,1529377
95,acrgf,1762359
96,acrs,1557746
97,acrx,1427925
98,acst,1444192
99,actg,934549
100,actt,1753706
101,acttu,1753706
102,acu,2098
103,acur,786947
104,acy,1036848
105,adac,1422222
106,adad,1593204
107,adadd,1593204
108,adap,1621227
109,adbe,796343
110,adc,917251
111,adct,1771910
112,ades,1515156
113,adfi,1353633
114,adgo,869531
115,adhg,1663641
116,adi,6281
117,adil,1513525
118,adilw,1513525
119,adm,7084
120,adma,1368514
121,admg,1171008
122,admp,887247
123,adms,1328143
124,admt,849401
125,adnt,1670541
126,adom,1563568
127,adp,8670
128,adpt,1478320
129,adrny,869425
130,adro,1435049
131,ads,1101215
132,adsk,769397
133,adsv,927454
134,adsw,1585790
135,adt,1703056
136,adtn,926282
137,adtx,1726711
138,adus,1468328
139,advm,1501756
140,adxn,1574232
141,adxs,1100397
142,adyx,1054274
143,ae,2178
144,aee,1002910
145,aeg,769218
146,aegg,843212
147,aegn,353020
148,aehr,1040470
149,aeis,927003
150,ael,1039828
151,aem,2809
152,aemd,882291
153,aeo,919012
154,aep,4904
155,aep-pb,4904
156,aer,1378789
157,aerg,879911
158,aeri,1337553
159,aero,1316644
160,aes,874761
161,aese,1708341
162,aesew,1708341
163,aet,1122304
164,aexl,1724001
165,aey,874292
166,aeye,1362190
167,aezs,1113423
168,af,910322
169,afam,799231
170,afc,1287750
171,afg,1042046
172,afgb,1042046
173,afgc,1042046
174,afgd,1042046
175,afgh,1042046
176,afh,1539894
177,afi,1655075
178,afin,1568162
179,afinp,1568162
180,afl,4977
181,afmd,1608390
182,afom,1286459
183,afsi,1365555
184,aftm,836809
185,afya,1771007
186,ag,1308648
187,agba,1769624
188,agbar,1769624
189,agbau,1769624
190,agbaw,1769624
191,agco,880266
192,age,1708599
193,agen,1098972
194,agfs,1592016
195,aggx,1085596
196,aghc,885074
197,aghi,1680966
198,agi,1178819
199,agio,1439222
200,agle,1636282
201,agm,845877
202,agm-a,845877
203,agmh,1705402
204,agm-pc,845877
205,agm-pd,845877
206,agm-pe,845877
207,agn,1578845
208,agnc,1423689
209,agncm,1423689
210,agncn,1423689
211,agnco,1423689
