,No.,Company,Format,Form Type,Filing Date,Size,Link,CIK
0,152,12 West Capital Management LP,[text] [html],SC 13G/A,02/14/2020,39360,/Archives/edgar/data/1540531/000090571820000252/0000905718-20-000252-index.htm,0001540531
1,152,12 West Capital Management LP,[text] [html],SC 13G,03/07/2019,44637,/Archives/edgar/data/1540531/000090571819000272/0000905718-19-000272-index.htm,0001540531
2,152,"1218 Havemeyer Avenue, LLC",[text] [html],3,05/07/2007,6692,/Archives/edgar/data/1398518/000089843207000377/0000898432-07-000377-index.htm,0000894558
3,152,"12K, LLC",[text] [html],4,12/24/2008,21310,/Archives/edgar/data/1386953/000109489108000225/0001094891-08-000225-index.htm,0001318862
4,152,"12K, LLC",[text] [html],SC 13D,01/29/2007,258261,/Archives/edgar/data/1386953/000095013607000475/0000950136-07-000475-index.htm,0001318862
5,152,"12K, LLC",[text] [html],4,01/22/2007,6694,/Archives/edgar/data/1386953/000109489107000040/0001094891-07-000040-index.htm,0001318862
6,152,"12K, LLC",[text] [html],3,01/18/2007,6930,/Archives/edgar/data/1386953/000109489107000036/0001094891-07-000036-index.htm,0001318862
7,152,1347 Capital Corp,[text] [html],8-K,07/18/2016,65470,/Archives/edgar/data/1606163/000114420416113345/0001144204-16-113345-index.htm,0001606163
8,241,1347 Capital Corp,[text] [html],425,07/18/2016,65819,/Archives/edgar/data/1606163/000114420416113346/0001144204-16-113346-index.htm,0001606163
9,152,1347 Capital Corp,[text] [html],424B3,07/18/2016,66826,/Archives/edgar/data/1606163/000114420416113347/0001144204-16-113347-index.htm,0001606163
10,152,1347 Capital Corp,[text] [html],424B3,07/13/2016,101354,/Archives/edgar/data/1606163/000114420416112765/0001144204-16-112765-index.htm,0001606163
11,152,1347 Capital Corp,[text] [html],8-K,07/13/2016,100363,/Archives/edgar/data/1606163/000114420416112748/0001144204-16-112748-index.htm,0001606163
12,241,1347 Capital Corp,[text] [html],425,07/13/2016,100534,/Archives/edgar/data/1606163/000114420416112749/0001144204-16-112749-index.htm,0001606163
13,152,1347 Capital Corp,[text] [html],4,07/11/2016,6577,/Archives/edgar/data/1606163/000114420416112471/0001144204-16-112471-index.htm,0001409889
14,152,1347 Capital Corp,[text] [html],4/A,07/11/2016,6940,/Archives/edgar/data/1606163/000114420416112468/0001144204-16-112468-index.htm,0001409889
15,152,1347 Capital Corp,[text] [html],4,07/06/2016,6576,/Archives/edgar/data/1606163/000114420416111836/0001144204-16-111836-index.htm,0001409889
16,152,1347 Capital Corp,[text] [html],8-K,06/29/2016,38554,/Archives/edgar/data/1606163/000114420416110598/0001144204-16-110598-index.htm,0001606163
17,241,1347 Capital Corp,[text] [html],425,06/29/2016,38965,/Archives/edgar/data/1606163/000114420416110599/0001144204-16-110599-index.htm,0001606163
18,241,1347 Capital Corp,[text] [html],425,06/24/2016,38939,/Archives/edgar/data/1606163/000114420416109610/0001144204-16-109610-index.htm,0001606163
19,152,1347 Capital Corp,[text] [html],8-K,06/24/2016,38528,/Archives/edgar/data/1606163/000114420416109609/0001144204-16-109609-index.htm,0001606163
20,152,1347 Capital Corp,[text] [html],4,06/23/2016,12271,/Archives/edgar/data/1606163/000114420416109565/0001144204-16-109565-index.htm,0001409889
21,152,1347 Capital Corp,[text] [html],4,06/21/2016,6578,/Archives/edgar/data/1606163/000114420416109196/0001144204-16-109196-index.htm,0001409889
22,152,1347 Capital Corp,[text] [html],424B3,06/16/2016,5541977,/Archives/edgar/data/1606163/000114420416108461/0001144204-16-108461-index.htm,0001606163
