0,GC,SI,Ratio
1988-03-31,513.6,,
1988-04-04,516.4,,
1988-04-05,511.7,,
1988-04-06,505.9,,
1988-04-07,507.3,,
1988-04-08,508.0,,
1988-04-11,509.0,,
1988-04-12,508.0,,
1988-04-13,502.3,,
1988-04-14,511.1,,
1988-04-15,514.1,,
1988-04-18,518.3,,
1988-04-19,516.1,,
1988-04-20,513.9,,
1988-04-21,511.1,,
1988-04-22,504.6,,
1988-04-25,502.3,,
1988-04-26,503.4,,
1988-04-27,506.4,,
1988-04-28,504.8,,
1988-04-29,505.1,7.564,66.77683765203597
1988-05-02,499.6,7.41,67.42240215924427
1988-05-03,497.5,7.36,67.59510869565217
1988-05-04,499.1,7.379,67.63789131318607
1988-05-05,500.6,7.414,67.52090639330996
1988-05-06,498.8,7.436,67.07907477138247
1988-05-09,503.0,7.528,66.81721572794899
1988-05-10,507.1,7.64,66.37434554973822
1988-05-11,506.7,7.62,66.49606299212599
1988-05-12,508.6,7.649,66.49235194143026
1988-05-13,506.9,7.6739999999999995,66.05420901746156
1988-05-16,508.6,7.632999999999999,66.63173064325954
1988-05-17,508.7,7.593,66.99591729224285
1988-05-18,511.5,7.766,65.86402266288952
1988-05-19,511.3,7.694,66.454380036392
1988-05-20,511.8,7.7829999999999995,65.75870486958758
1988-05-23,516.9,7.835,65.97319719208679
1988-05-24,516.9,7.851,65.83874665647689
1988-05-25,509.4,7.669,66.42326248533055
1988-05-26,510.2,7.685,66.38906961613533
1988-05-27,508.4,7.601,66.8859360610446
1988-05-31,511.9,7.705,66.4373783257625
1988-06-01,512.9,7.917999999999999,64.77645870169235
1988-06-02,522.9,8.398,62.26482495832341
1988-06-03,521.1,8.383,62.16151735655494
1988-06-06,520.1,8.425,61.73293768545994
1988-06-07,517.4,8.387,61.690711815905566
1988-06-08,512.4,8.217,62.35852500912741
1988-06-09,513.8,8.262,62.18833212297264
1988-06-10,504.5,8.096,62.3147233201581
1988-06-13,505.0,8.123,62.16914932906562
1988-06-14,504.2,8.125,62.05538461538461
1988-06-15,505.7,8.21,61.59561510353227
1988-06-16,505.5,8.207,61.59376142317533
1988-06-17,510.8,8.347000000000001,61.195639151791056
1988-06-20,507.0,8.294,61.12852664576802
1988-06-21,507.9,8.308,61.13384689455946
1988-06-22,504.3,8.09,62.336217552533995
1988-06-23,502.2,8.055,62.3463687150838
1988-06-24,495.7,7.874,62.95402590805182
1988-06-27,495.8,8.007,61.920819283127265
1988-06-28,490.3,7.82,62.69820971867008
1988-06-29,488.1,7.65,63.80392156862745
1988-06-30,487.0,7.724,63.050233039875714
1988-07-01,488.9,7.72,63.32901554404145
1988-07-05,490.2,7.791,62.91875240662302
1988-07-06,491.3,7.848,62.60193679918451
1988-07-07,492.6,7.987999999999999,61.66750125187783
1988-07-08,493.5,8.076,61.10698365527489
1988-07-11,489.0,8.009,61.05631164939443
1988-07-12,491.0,8.047,61.01652789859575
1988-07-13,494.9,8.257,59.9370231318881
1988-07-14,493.1,8.402000000000001,58.688407522018565
1988-07-15,494.2,8.432,58.610056925996204
1988-07-18,491.7,8.267000000000001,59.477440425789275
1988-07-19,501.6,8.892000000000001,56.4102564102564
1988-07-20,500.2,8.985,55.670562047857544
1988-07-21,497.4,8.9,55.887640449438194
1988-07-22,497.5,8.754,56.831162896961395
1988-07-25,479.3,8.116,59.05618531296206
1988-07-26,484.8,7.938,61.073318216175366
1988-07-27,486.3,8.036,60.51518168242907
1988-07-28,485.6,7.744,62.70661157024794
1988-07-29,489.5,7.837000000000001,62.460125047849935
1988-08-01,487.8,7.906000000000001,61.699974702757395
1988-08-02,484.1,7.827000000000001,61.850006388143605
1988-08-03,486.0,7.861000000000001,61.82419539498791
1988-08-04,485.5,7.875,61.65079365079365
1988-08-05,484.5,7.872999999999999,61.539438587577806
1988-08-08,482.7,7.7010000000000005,62.68017140631086
1988-08-09,479.9,7.612999999999999,63.03691054774728
1988-08-10,481.6,7.7,62.54545454545455
1988-08-11,481.4,7.71,62.43839169909209
1988-08-12,483.4,7.737,62.47899702727155
1988-08-15,485.4,7.7829999999999995,62.36669664653733
1988-08-16,481.3,7.629,63.08821601782672
1988-08-17,483.4,7.66,63.10704960835509
1988-08-18,484.9,7.684,63.10515356585112
1988-08-19,484.5,7.665,63.20939334637965
1988-08-22,486.5,7.747000000000001,62.79850264618561
1988-08-23,485.0,7.751,62.572571281125015
1988-08-24,487.8,7.805,62.49839846252403
1988-08-25,485.8,7.732,62.82979824107605
1988-08-26,485.0,7.676,63.18394997394476
1988-08-29,482.3,7.5360000000000005,63.99946921443736
1988-08-30,481.3,7.497000000000001,64.19901293850873
1988-08-31,483.5,7.539,64.13317416102932
1988-09-01,482.3,7.563,63.77099034774561
1988-09-02,479.6,7.482,64.1005078855921
1988-09-06,476.9,7.443,64.07362622598414
1988-09-07,477.6,7.5089999999999995,63.603675589292855
1988-09-08,478.3,7.575,63.14191419141914
1988-09-09,469.8,7.3839999999999995,63.6240520043337
1988-09-12,468.1,7.372999999999999,63.488403634884044
1988-09-13,468.3,7.425,63.07070707070707
1988-09-14,468.1,7.435,62.95897780766645
1988-09-15,464.6,7.405,62.74139095205942
1988-09-16,457.9,7.252000000000001,63.141202426916706
1988-09-19,454.8,7.27,62.55845942228336
1988-09-20,450.0,7.141,63.016384259907575
1988-09-21,441.8,7.061,62.56904121229288
1988-09-22,442.6,7.132000000000001,62.058328659562534
1988-09-23,437.3,7.05,62.02836879432625
1988-09-26,437.7,6.971,62.788696026395066
1988-09-27,440.5,7.031000000000001,62.65111648414165
1988-09-28,441.7,7.039,62.75039068049439
1988-09-29,439.8,7.045,62.42725337118524
1988-09-30,436.6,6.994,62.42493565913641
1988-10-03,439.8,7.104,61.90878378378378
1988-10-04,440.1,7.106,61.933577258654665
1988-10-05,442.7,7.156000000000001,61.8641699273337
1988-10-06,445.8,7.146,62.384550797649034
1988-10-07,444.3,7.172999999999999,61.94061062317023
1988-10-10,449.8,7.188,62.576516416249305
1988-10-11,445.5,7.041,63.27226246271836
1988-10-12,449.9,7.1610000000000005,62.826420890937015
1988-10-13,448.2,7.141,62.76431872286794
1988-10-14,450.3,7.2010000000000005,62.53298153034301
1988-10-17,453.3,7.2410000000000005,62.601850573125255
1988-10-18,453.0,7.191,62.99541093032958
1988-10-19,452.6,7.167000000000001,63.150551137156405
1988-10-20,453.4,7.172000000000001,63.21807027328499
1988-10-21,449.5,7.04,63.84943181818182
1988-10-24,446.5,7.01,63.694721825962915
1988-10-25,447.1,7.0329999999999995,63.57173325750036
1988-10-26,448.6,7.0329999999999995,63.78501350774919
1988-10-27,447.3,6.999,63.909129875696536
1988-10-28,452.1,7.087000000000001,63.792860166502045
1988-10-31,451.8,7.1,63.633802816901415
1988-11-01,450.4,7.084,63.57989836250706
1988-11-02,461.8,7.29,63.34705075445817
1988-11-03,461.2,7.209,63.975586072964354
1988-11-04,461.4,7.234,63.782139894940556
1988-11-07,463.0,7.308,63.3552271483306
1988-11-08,459.4,7.202000000000001,63.78783671202443
1988-11-09,462.8,7.369,62.80363685710409
1988-11-10,458.3,7.222,63.45887565771254
1988-11-11,460.8,7.2,64.0
1988-11-14,462.9,7.226,64.0603376695267
1988-11-15,463.5,7.1739999999999995,64.60830777808755
1988-11-16,464.0,7.081,65.52746787176952
1988-11-17,460.1,6.965,66.05886575735822
1988-11-18,456.5,6.83,66.83748169838945
1988-11-21,454.6,6.763999999999999,67.20875221762272
1988-11-22,456.4,6.831,66.81305811740593
1988-11-23,458.2,6.87,66.69577874818049
1988-11-28,462.0,6.921,66.75335934113568
